Species;Code_Species;Compartment;AphiaID_Worms;Scientific_Name_Worms;Authority_Worms;Kingdom;Phylum;Class;Order;Family;Genus;rank
Abralia veranyi;Abra.vera;MOLL;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abylopsis sp.;Abyl.sp;GELATINOUS;135352;Abylopsis;Chun, 1888;Animalia;Cnidaria;Hydrozoa;Siphonophorae;Abylidae;Abylopsis;Genus
Abylopsis tetragona;Abyl.tetr;GELATINOUS;135403;Abylopsis tetragona;(Otto, 1823);Animalia;Cnidaria;Hydrozoa;Siphonophorae;Abylidae;Abylopsis;Species
Acanthephyra acanthitelsonis;Acan.acan;CRUS;240809;Acanthephyra acanthitelsonis;Spence Bate, 1888;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Species
Acanthephyra acutifrons;Acan.acut;CRUS;158347;Acanthephyra acutifrons;Spence Bate, 1888;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Species
Acanthephyra curtirostris;Acan.curt;CRUS;107579;Acanthephyra curtirostris;Wood-Mason in Wood-Mason & Alcock, 1891;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Species
Acanthephyra kingsleyi;Acan.king;CRUS;240810;Acanthephyra kingsleyi;Spence Bate, 1888;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Species
Acanthephyra quadrispinosa;Acanthephyra.quad;CRUS;210438;Acanthephyra quadrispinosa;Kemp, 1939;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Species
Acanthephyra sp.;Acant.sp;CRUS;107018;Acanthephyra;A. Milne-Edwards, 1881;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Genus
Acanthephyra stylorostratis;Acan.styl;CRUS;107583;Acanthephyra stylorostratis;(Spence Bate, 1888);Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Species
Acanthostracion polygonium;Acan.poly;FISH;1577312;Acanthostracion polygonium;Poey, 1876;Animalia;Chordata;Teleostei;Tetraodontiformes;Ostraciidae;Acanthostracion;Species
Acanthostracion quadricornis;Acanthostracion.quad;FISH;158920;Acanthostracion quadricornis;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Tetraodontiformes;Ostraciidae;Acanthostracion;Species
Acanthurus bahianus;Acan.bahi;FISH;159578;Acanthurus bahianus;Castelnau, 1855;Animalia;Chordata;Teleostei;Acanthuriformes;Acanthuridae;Acanthurus;Species
Acanthurus chirurgus;Acan.chir;FISH;159580;Acanthurus chirurgus;(Bloch, 1787);Animalia;Chordata;Teleostei;Acanthuriformes;Acanthuridae;Acanthurus;Species
Acanthurus coeruleus;Acan.coer;FISH;159581;Acanthurus coeruleus;Bloch & Schneider, 1801;Animalia;Chordata;Teleostei;Acanthuriformes;Acanthuridae;Acanthurus;Species
Acanthurus sp.;Acanthurus.sp;FISH;125908;Acanthurus;Forsskål, 1775;Animalia;Chordata;Teleostei;Acanthuriformes;Acanthuridae;Acanthurus;Genus
Achelous anceps;Port.ance;CRUS;1587863;Achelous anceps;(de Saussure, 1857);Animalia;Arthropoda;Malacostraca;Decapoda;Portunidae;Portunus;Species
Achelous ordwayi;Ache.ordw;CRUS;451838;Achelous ordwayi;Stimpson, 1860;Animalia;Arthropoda;Malacostraca;Decapoda;Portunidae;Achelous;Species
Achirus achirus;Achi.achi;FISH;279490;Achirus achirus;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Pleuronectiformes;Achiridae;Achirus;Species
Achirus lineatus;Achi.line;FISH;279493;Achirus lineatus;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Pleuronectiformes;Achiridae;Achirus;Species
Acrosterigma magnum;Trac.magn;MOLL;381240;Acrosterigma magnum;(Linnaeus, 1758);Animalia;Mollusca;Bivalvia;Cardiida;Cardiidae;Trachycardium;Species
Actinopterygii spp.;Acti.spp;FISH;10194;Actinopterygii;NaN;Animalia;Chordata;NaN;NaN;NaN;NaN;Gigaclass
Agelas clathrodes;Agel.clat;SPONGES;164823;Agelas clathrodes;(Schmidt, 1870);Animalia;Porifera;Demospongiae;Agelasida;Agelasidae;Agelas;Species
Agelas sventres;Agel.sven;SPONGES;164844;Agelas sventres;Lehnert & van Soest, 1996;Animalia;Porifera;Demospongiae;Agelasida;Agelasidae;Agelas;Species
