Id_Survey;Id_Survey_Pos;Id_Station;Operation;Operation_Code;DateFull_mn;TimeStamp_mn;Latitude;Longitude;Bottom_Depth;Dist_Shore;Fishing_Depth_Upper;Fishing_Depth_Lower;Species;Code_Species;Compartment;Reg;Pres_Abs;Nb_Individual;Nb_Colonies;Biovolume;TL;FL;SL;ML;CL;DL;TW;TWest;EW;GonW;StomachW;Fullness;Collection;AphiaID_Worms;Scientific_Name_Worms;Authority_Worms;Kingdom;Phylum;Class;Order;Family;Genus;rank
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Acanthostracion polygonium;Acan.poly;FISH;1;1;NaN;NaN;NaN;22;NaN;17;NaN;NaN;NaN;132.35;NaN;NaN;NaN;NaN;NaN;NaN;1577312;Acanthostracion polygonium;Poey, 1876;Animalia;Chordata;Teleostei;Tetraodontiformes;Ostraciidae;Acanthostracion;Species
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Acanthostracion polygonium;Acan.poly;FISH;2;1;NaN;NaN;NaN;21;NaN;16;NaN;NaN;NaN;121.99;NaN;NaN;NaN;NaN;NaN;NaN;1577312;Acanthostracion polygonium;Poey, 1876;Animalia;Chordata;Teleostei;Tetraodontiformes;Ostraciidae;Acanthostracion;Species
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Acanthostracion quadricornis;Acanthostracion.quad;FISH;1;1;NaN;NaN;NaN;21.5;NaN;17.5;NaN;NaN;NaN;184.47;NaN;NaN;NaN;NaN;NaN;NaN;158920;Acanthostracion quadricornis;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Tetraodontiformes;Ostraciidae;Acanthostracion;Species
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Acanthostracion quadricornis;Acanthostracion.quad;FISH;2;1;NaN;NaN;NaN;22.3;NaN;17.8;NaN;NaN;NaN;183.74;NaN;NaN;NaN;NaN;NaN;NaN;158920;Acanthostracion quadricornis;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Tetraodontiformes;Ostraciidae;Acanthostracion;Species
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Acanthostracion quadricornis;Acanthostracion.quad;FISH;3;1;NaN;NaN;NaN;20.8;NaN;16.3;NaN;NaN;NaN;142.85;NaN;NaN;NaN;NaN;NaN;NaN;158920;Acanthostracion quadricornis;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Tetraodontiformes;Ostraciidae;Acanthostracion;Species
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Acanthostracion quadricornis;Acanthostracion.quad;FISH;4;1;NaN;NaN;NaN;20.4;NaN;16.3;NaN;NaN;NaN;158.87;NaN;NaN;NaN;NaN;NaN;NaN;158920;Acanthostracion quadricornis;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Tetraodontiformes;Ostraciidae;Acanthostracion;Species
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Anisotremus virginicus;Anis.virg;FISH;1;1;NaN;NaN;NaN;24.3;21.1;18.7;NaN;NaN;NaN;261.1;NaN;NaN;NaN;NaN;NaN;NaN;279625;Anisotremus virginicus;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Anisotremus;Species
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Anisotremus virginicus;Anis.virg;FISH;2;1;NaN;NaN;NaN;26.6;23.2;20.7;NaN;NaN;NaN;321.7;NaN;NaN;NaN;NaN;NaN;NaN;279625;Anisotremus virginicus;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Anisotremus;Species
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Aulostomus maculatus;Aulo.macu;FISH;1;1;NaN;NaN;NaN;29.1;NaN;28;NaN;NaN;NaN;41.9;NaN;NaN;NaN;NaN;NaN;NaN;278080;Aulostomus maculatus;Valenciennes, 1841;Animalia;Chordata;Teleostei;Syngnathiformes;Aulostomidae;Aulostomus;Species
Abracos_2;A2_300;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;Aulostomus maculatus;Aulo.macu;FISH;2;1;NaN;NaN;NaN;30.2;NaN;28;NaN;NaN;NaN;38.9;NaN;NaN;NaN;NaN;NaN;NaN;278080;Aulostomus maculatus;Valenciennes, 1841;Animalia;Chordata;Teleostei;Syngnathiformes;Aulostomidae;Aulostomus;Species
